City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Jamestown,US,42.097,-79.2353,10.8,76,100,2.06,overcast clouds
109,Sinjar,IQ,36.3209,41.8754,25.22,20,0,3.82,clear sky
110,Elk,PL,53.8282,22.3647,7.57,90,100,2.93,light rain
111,Chokurdakh,RU,70.6333,147.9167,-4.17,82,97,3.18,overcast clouds
112,Nagorsk,RU,59.3172,50.8078,6.59,64,100,4.0,overcast clouds
113,Kathmandu,NP,27.7167,85.3167,19.12,94,100,2.06,overcast clouds
114,Talnakh,RU,69.4865,88.3972,0.67,98,100,0.72,light snow
115,Mikun,RU,62.3547,50.0771,7.29,96,97,2.65,overcast clouds
116,Clyde River,CA,70.4692,-68.5914,-2.87,80,100,9.77,light snow
117,Cockburn Town,TC,21.4612,-71.1419,28.47,76,100,2.61,overcast clouds
118,Khatanga,RU,71.9667,102.5,-1.62,98,100,2.15,light snow
119,Butaritari,KI,3.0707,172.7902,27.83,73,37,8.06,light rain
120,Gimbi,ET,9.1667,35.8333,12.46,97,100,0.49,light rain
121,Hovd,MN,48.0056,91.6419,2.13,26,0,0.28,clear sky
122,Gallup,US,35.5281,-108.7426,15.42,81,100,2.57,overcast clouds
123,Sayyan,YE,15.1718,44.3244,14.04,25,46,2.19,scattered clouds
124,Joniskis,LT,56.2403,23.6153,9.51,84,100,3.6,overcast clouds
125,Mariental,NA,-24.6333,17.9667,19.33,15,0,2.74,clear sky
126,Kaitangata,NZ,-46.2817,169.8464,2.71,90,99,8.58,overcast clouds
127,Paracuru,BR,-3.41,-39.0306,26.17,79,3,5.62,clear sky
128,Launceston,AU,-41.45,147.1667,15.34,55,40,3.6,scattered clouds
129,Ponta Do Sol,PT,32.6667,-17.1,22.62,68,52,1.53,broken clouds
130,Ornskoldsvik,SE,63.2909,18.7153,10.53,100,100,6.69,light rain
131,Savannah Bight,HN,16.45,-85.85,28.17,69,100,3.81,overcast clouds
132,Lompoc,US,34.6391,-120.4579,24.08,85,100,5.14,overcast clouds
133,Saint Anthony,US,45.0205,-93.218,21.06,57,0,3.09,clear sky
134,Zavyalovo,RU,54.5053,82.4484,4.3,80,100,6.01,light rain
135,Camana,PE,-16.6228,-72.7111,15.67,77,46,3.0,scattered clouds
136,Birakan,RU,49.0167,131.7,3.19,38,39,5.57,scattered clouds
137,Arrifes,PT,37.7667,-25.7,20.13,88,20,2.06,few clouds
138,Alofi,NU,-19.0595,-169.9187,27.94,69,75,5.14,broken clouds
139,Hasaki,JP,35.7333,140.8333,23.22,80,100,10.7,overcast clouds
140,Esperance,AU,-33.8667,121.9,18.92,58,52,7.6,broken clouds
141,Santa Maria,BR,-29.6842,-53.8069,13.61,72,0,4.12,clear sky
142,Koundara,GN,12.4833,-13.3,23.96,94,56,2.42,broken clouds
143,Moose Factory,CA,51.2585,-80.6094,8.0,100,100,1.54,overcast clouds
144,Lasa,IT,46.6166,10.7002,12.79,50,30,0.54,scattered clouds
145,Tocache,PE,-8.1842,-76.5125,24.4,74,99,0.36,overcast clouds
146,Tawang,IN,27.5833,91.8667,12.74,95,100,0.67,overcast clouds
147,Half Moon Bay,US,37.4636,-122.4286,22.24,81,100,8.75,mist
148,College,US,64.8569,-147.8028,13.99,41,75,3.6,broken clouds
149,Arlit,NE,18.7369,7.3853,31.59,16,0,3.67,clear sky
150,Coquimbo,CL,-29.9533,-71.3436,12.85,87,75,2.06,broken clouds
151,Taoudenni,ML,22.6783,-3.9836,33.62,13,0,4.2,clear sky
152,Baijiantan,CN,45.6333,85.1833,11.95,24,13,0.44,few clouds
153,Paragominas,BR,-2.9667,-47.4833,22.81,82,43,1.74,scattered clouds
154,Hermanus,ZA,-34.4187,19.2345,11.56,76,68,2.19,broken clouds
155,Portland,US,45.5234,-122.6762,19.96,77,20,0.45,few clouds
156,Yuli,NG,9.6989,10.2744,22.68,94,94,1.71,overcast clouds
157,Ribeira Grande,PT,38.5167,-28.7,21.27,89,100,8.82,overcast clouds
